2024-01-03 13:01:22,446 INFO [http-nio-8080-exec-6] priceLogger [ProductController.java:67] UserID: 658fe6aa72ab2f6fdb6e127a, Operation: Read, Method: getProductById, Product: Ordinateur, Price: 180.0
2024-01-03 13:02:25,975 INFO [http-nio-8080-exec-3] priceLogger [ProductController.java:68] UserID: 658fe6aa72ab2f6fdb6e127a, Operation: Read, Method: getProductById, Product: Ordinateur, Price: 180.0
2024-01-03 14:26:33,711 INFO [http-nio-8080-exec-4] priceLogger [ProductController.java:66] UserID: 658fe6aa72ab2f6fdb6e127a, Operation: Read, Method: getProductById, Product: Ordinateur, Price: 180.0
2024-01-03 14:27:50,179 INFO [http-nio-8080-exec-6] priceLogger [ProductController.java:66] UserID: 658fe6aa72ab2f6fdb6e127a, Operation: Read, Method: getProductById, Product: Ordinateur, Price: 180.0
2024-01-03 16:45:08,983 INFO [http-nio-8080-exec-5] priceLogger [ProductController.java:66] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProductById, Product: Trotinette, Price: 200.0
2024-01-03 16:45:11,152 INFO [http-nio-8080-exec-6] priceLogger [ProductController.java:66] UserID: 65956dbbbe5d4add9cd0eedd, Operation: Read, Method: getProductById, Product: Trotinette, Price: 200.0
2024-01-03 16:45:33,212 INFO [http-nio-8080-exec-9] priceLogger [ProductController.java:66] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProductById, Product: Trotinette, Price: 200.0
2024-01-03 16:45:34,199 INFO [http-nio-8080-exec-10] priceLogger [ProductController.java:66] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProductById, Product: Trotinette, Price: 200.0
2024-01-03 16:46:01,567 INFO [http-nio-8080-exec-3] priceLogger [ProductController.java:66] UserID: 658fe6aa72ab2f6fdb6e127a, Operation: Read, Method: getProductById, Product: Trotinette, Price: 200.0
2024-01-03 16:46:04,047 INFO [http-nio-8080-exec-4] priceLogger [ProductController.java:66] UserID: 658fe6aa72ab2f6fdb6e127a, Operation: Read, Method: getProductById, Product: Trotinette, Price: 200.0
2024-01-03 16:46:04,515 INFO [http-nio-8080-exec-5] priceLogger [ProductController.java:66] UserID: 658fe6aa72ab2f6fdb6e127a, Operation: Read, Method: getProductById, Product: Trotinette, Price: 200.0
2024-01-03 16:47:09,071 INFO [http-nio-8080-exec-8] priceLogger [ProductController.java:66] UserID: 658fe67272ab2f6fdb6e1279, Operation: Read, Method: getProductById, Product: Trotinette, Price: 200.0
2024-01-03 16:47:10,164 INFO [http-nio-8080-exec-9] priceLogger [ProductController.java:66] UserID: 658fe67272ab2f6fdb6e1279, Operation: Read, Method: getProductById, Product: Trotinette, Price: 200.0
2024-01-03 16:47:19,199 INFO [http-nio-8080-exec-6] priceLogger [ProductController.java:66] UserID: 658fe67272ab2f6fdb6e1279, Operation: Read, Method: getProductById, Product: Trotinette, Price: 200.0
2024-01-03 16:47:19,716 INFO [http-nio-8080-exec-7] priceLogger [ProductController.java:66] UserID: 658fe67272ab2f6fdb6e1279, Operation: Read, Method: getProductById, Product: Trotinette, Price: 200.0
2024-01-03 16:47:53,066 INFO [http-nio-8080-exec-9] priceLogger [ProductController.java:66] UserID: 658fe67272ab2f6fdb6e1279, Operation: Read, Method: getProductById, Product: Tablette, Price: 500.0
2024-01-03 16:48:08,281 INFO [http-nio-8080-exec-1] priceLogger [ProductController.java:66] UserID: 658fe67272ab2f6fdb6e1279, Operation: Read, Method: getProductById, Product: Tablette, Price: 500.0
2024-01-03 17:25:59,855 INFO [http-nio-8080-exec-6] priceLogger [ProductController.java:66] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProductById, Product: micro-onde, Price: 100.99
2024-01-03 17:26:22,565 INFO [http-nio-8080-exec-7] priceLogger [ProductController.java:66] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProductById, Product: micro-onde, Price: 100.99
2024-01-03 17:26:23,280 INFO [http-nio-8080-exec-8] priceLogger [ProductController.java:66] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProductById, Product: micro-onde, Price: 100.99
2024-01-03 17:26:23,974 INFO [http-nio-8080-exec-9] priceLogger [ProductController.java:66] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProductById, Product: micro-onde, Price: 100.99
2024-01-03 17:26:24,493 INFO [http-nio-8080-exec-10] priceLogger [ProductController.java:66] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProductById, Product: micro-onde, Price: 100.99
2024-01-03 17:26:25,157 INFO [http-nio-8080-exec-2] priceLogger [ProductController.java:66] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProductById, Product: micro-onde, Price: 100.99
2024-01-03 17:27:04,703 INFO [http-nio-8080-exec-5] priceLogger [ProductController.java:66] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProductById, Product: Etagère, Price: 49.99
2024-01-03 17:27:42,226 INFO [http-nio-8080-exec-10] priceLogger [ProductController.java:66] UserID: 659570b852f4d900d2ac7706, Operation: Read, Method: getProductById, Product: Etagère, Price: 49.99
2024-01-03 17:27:43,733 INFO [http-nio-8080-exec-2] priceLogger [ProductController.java:66] UserID: 659570b852f4d900d2ac7706, Operation: Read, Method: getProductById, Product: Etagère, Price: 49.99
2024-01-03 17:27:46,449 INFO [http-nio-8080-exec-1] priceLogger [ProductController.java:66] UserID: 659570b852f4d900d2ac7706, Operation: Read, Method: getProductById, Product: Etagère, Price: 49.99
2024-01-03 17:28:04,698 INFO [http-nio-8080-exec-3] priceLogger [ProductController.java:66] UserID: 659570b852f4d900d2ac7706, Operation: Read, Method: getProductById, Product: Etagère, Price: 49.99
2024-01-03 17:29:04,115 INFO [http-nio-8080-exec-6] priceLogger [ProductController.java:66] UserID: 659570b852f4d900d2ac7706, Operation: Read, Method: getProductById, Product: ProduitTest3, Price: 29.99
2024-01-03 17:29:38,289 INFO [http-nio-8080-exec-7] priceLogger [ProductController.java:66] UserID: 659570b852f4d900d2ac7706, Operation: Read, Method: getProductById, Product: Chaussure, Price: 29.99
2024-01-03 17:33:59,125 INFO [http-nio-8080-exec-8] priceLogger [ProductController.java:66] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProductById, Product: Chaussure, Price: 29.99
